Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.88542918109684,7.93982456784346,9.79844339009819,14.0915797858344,7.75102280508962,7.43135023688717,6.77582925335658,6.43661565313205,8.77899057973958,7.31386696866335,8.42276895196123,8.31799176923096,7.8179154478924,7.38540730553572,6.86513891934824,7.96989203654881,..
Brazil,BRA,Internet users (per 100 people),IT.NET.USER.P2,2.87068515854108,4.52849486902851,9.14942508560748,13.2075861035303,19.073672274442,21.022747248827,28.1783801797929,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.5510018796392,59.079477910505,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.0419756097561,70.4596097560976,70.845243902439,71.2018780487805,71.532,71.8396341463415,72.1317317073171,72.4148292682927,72.6954146341463,72.9780243902439,73.2641463414634,73.5523414634146,73.8395853658537,74.1224390243903,74.4018780487805,..,..
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,17.4145737319791,20.8918742897619,21.6705460730473,22.1992717487286,24.3698255650619,21.9997988522904,21.0939322654548,20.5638366387735,22.4268133936458,17.1966534154406,17.8123477397984,18.8559840481355,19.3434526377096,19.9770712879165,19.2074556213746,20.844516065831,..
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.73072480616599,1.95188165586933,1.89577025070057,1.50347710732145,1.46126931426382,1.52401381379389,1.48108489489303,1.46629204602643,1.44192413474423,1.53862539903512,1.53940658512634,1.41273048784336,1.38119466190808,1.33323803173355,1.35167944071978,1.38666829710795,..
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,13.2879771661194,16.2434653162697,19.443799184819,25.5144501065075,35.6528988110952,46.3141845224809,53.1102584874003,63.6747518549979,78.5549801023455,87.5418765124288,100.881011548201,119.002385323484,125.001852070739,135.305048102328,138.951490610451,126.592264521349,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,32,29.6,27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4,..
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,100,99.8236098405,98.4741392074,97.1081796822,97.9505215654,98.7554588601,103.9667436732,106.1470351309,110.0856075186,107.2764693743,124.445803202,134.1584342709,126.3309539778,123.7563748654,119.5613589356,106.4117832519,..
Brazil,BRA,Net migration,SM.POP.NETM,..,..,0,..,..,..,..,0,..,..,..,..,15924,..,..,..,..
Brazil,BRA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,231370000,219530000,207730000,198280000,154380000,243070000,113430000,321200000,460360000,336930000,449640000,812190000,1280870000,1144650000,911560000,..,..
Brazil,BRA,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,83.3333333333333,86.6666666666667,90,91.1111111111111,86.6666666666667,86.6666666666667,83.3333333333333,84.4444444444444,78.8888888888889,75.5555555555556,75.5555555555556,72.2222333333333,76.6666666666667
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1349591000,1448914000,2003791000,2286680000,2812514000,2805358000,3287162000,3305694000,3642585000,2889159500,3082801866.11,3214602242.94,2784072055.49,2717675068.66,2647908513.04,2896909951.71,..
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,21.0317655602802,21.3467824180978,21.6609906031725,21.9698807390161,22.2676771386935,22.5503808263561,22.8158706362899,23.065481195577,23.3029951639958,23.5340994527491,23.7629673587664,23.9906945803731,24.2161035828546,24.4383770791109,24.6559519223176,24.8676772583374,..
Brazil,BRA,Population growth (annual %),SP.POP.GROW,1.50938769771266,1.48670813501134,1.46119528405558,1.41594832801114,1.34637132994086,1.26157825677543,1.17044204549015,1.08808050317716,1.02447207415688,0.986850982951653,0.967796558286436,0.953765381161696,0.935181982037551,0.913687864138812,0.886360083057745,0.855052949410704,..
Brazil,BRA,"Population, total",SP.POP.TOTL,175786441,178419396,181045592,183627339,186116363,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898,207847528,..
Brazil,BRA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,13.62,12.31,12.71,11.04,9.55,7.94,7.6,6.29,6.18,..,5.5,4.59,4.87,3.66,..,..
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,24.7,23.3,24.9,22.4,21,17.3,16.1,14.1,13.3,..,11.1,9,8.9,7.4,..,..
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,..
Brazil,BRA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,3.70000004768372,..,..,..,..,2.20000004768372,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,112.229606628418,114.199432373047,109.366607666016,100.684646606445,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,19.5546489959666,20.5097783060513,21.4601091835247,20.6973676009107,21.3622211950088,22.4238532380812,25.6877850961838,25.7507309403539,27.0091884276914,23.9755524986199,26.6408468858803,26.692092380482,26.9734874786386,26.0304627624929,24.8553379361711,..,..
Brazil,BRA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,1.0129599571228,1.03544998168945,1.03352999687195,1.02884995937347,..,1.04399001598358,1.03873002529144,1.04416000843048,..,1.02593004703522,1.035640001297,1.02957999706268,..,..,..
Brazil,BRA,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,67.7276632219104,67.77544532328,67.2163115821429,65.831767770414,64.6942024642866,66.0496945708662,67.1800965212342,67.6993336575372,67.258041856068,69.175180243122,67.7825544735578,67.6976343404603,69.0237606390739,69.7681617839526,70.8087746146679,72.0486959700453,..
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,..
Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.7748451715991,14.5597576020639,15.7200714371672,15.2443782233168,15.7527804880155,16.5289743327422,15.3813110875926,15.7755334686389,15.4928141750458,14.4175287425293,13.7861882765124,14.3985175012022,13.8501675363217,13.6539865872635,13.1485908682646,..,..
Brazil,BRA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,10.22,..,..,..,..,..,..,..,..,..,..,..,..,..,20.37,..,..
